source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
filelock,sphinx-autodoc-typehints,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,sphinx,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
botocore,jmespath,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
botocore,python-dateutil,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
botocore,urllib3,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
botocore,awscrt,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sphinx-autodoc-typehints,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx-autodoc-typehints,typing,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx-autodoc-typehints,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zope-interface,sphinx-rtd-theme,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zope-interface,coverage,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zope-interface,zope.event,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zope-interface,zope.testing,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zope-interface,setuptools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zope-interface,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zope-interface,repoze.sphinx.autointerface,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
backports.zoneinfo,tzdata,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
backports.zoneinfo,importlib-resources,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,tensorflow-gpu,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,jupyter,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,numpy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,protobuf,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,tldextract,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,matplotlib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,opencv-python,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,scikit-learn,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,tensorflow-io,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,librosa,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,pydub,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,attrs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,tensorflow-metadata,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,termcolor,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,scipy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,apache-beam,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,pillow,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,h5py,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,tensorflow,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,future,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,wrapt,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,futures,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,langdetect,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,pretty-midi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,numba,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,absl-py,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,tqdm,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,pandas,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,tensorflow-data-validation,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,mock,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,dill,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,functools32,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,psutil,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,scikit-image,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,mako,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,pytest-xdist,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,six,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,enum34,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,crepe,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,mwparserfromhell,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,promise,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,bz2file,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
tensorflow-datasets,nltk,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
bleach,tinycss2,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
bleach,six,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
